epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.2285,1.29555,1.60723,1.41689,0.73579,0.67796,0.73626,0.45561,1.28254,1.22363,1.40994,0.000237105,0.000237105,0.000237105
2,114,1.30239,1.25118,1.39956,0.68551,0.72103,0.74716,0.46553,1.24163,1.06898,1.40004,0.000465698,0.000465698,0.000465698
3,170.001,1.3268,1.24549,1.42514,0.72058,0.66819,0.7344,0.45547,1.27024,1.21039,1.42598,0.000684866,0.000684866,0.000684866
4,224.673,1.28406,1.17654,1.39092,0.70957,0.75656,0.77903,0.50295,1.21148,0.9605,1.37802,0.000671588,0.000671588,0.000671588
5,279.609,1.25529,1.12564,1.37459,0.71269,0.78185,0.79461,0.5117,1.2003,0.90433,1.33511,0.000657451,0.000657451,0.000657451
6,334.773,1.22551,1.07764,1.35469,0.70341,0.77892,0.79444,0.5243,1.15563,0.92663,1.31956,0.000643314,0.000643314,0.000643314
7,389.598,1.19188,1.02535,1.33037,0.76749,0.77875,0.82565,0.55807,1.09844,0.81238,1.28602,0.000629177,0.000629177,0.000629177
8,444.953,1.1741,0.98781,1.31968,0.77886,0.78088,0.82799,0.56589,1.07929,0.81212,1.27137,0.00061504,0.00061504,0.00061504
9,500.546,1.15313,0.94689,1.3108,0.80608,0.80807,0.84453,0.58545,1.05324,0.73741,1.24459,0.000600902,0.000600902,0.000600902
10,555.072,1.13569,0.92297,1.29417,0.81092,0.81521,0.8564,0.59465,1.04874,0.72989,1.2399,0.000586765,0.000586765,0.000586765
11,611.134,1.11261,0.89083,1.27768,0.82636,0.83186,0.86804,0.61081,1.02051,0.69326,1.22335,0.000572628,0.000572628,0.000572628
12,665.558,1.10815,0.88267,1.27967,0.79794,0.82787,0.8644,0.60606,1.01489,0.69613,1.21428,0.000558491,0.000558491,0.000558491
13,720.92,1.09397,0.86911,1.26954,0.82455,0.83278,0.879,0.62451,0.98815,0.65983,1.19915,0.000544354,0.000544354,0.000544354
14,776.431,1.07718,0.84799,1.25446,0.82755,0.84694,0.88181,0.63266,0.97282,0.61592,1.18616,0.000530216,0.000530216,0.000530216
15,831.85,1.06422,0.82282,1.24798,0.82208,0.86606,0.8916,0.64581,0.94718,0.60684,1.16809,0.000516079,0.000516079,0.000516079
16,887.244,1.0484,0.80085,1.23404,0.8551,0.86612,0.89947,0.65585,0.92984,0.58225,1.16332,0.000501942,0.000501942,0.000501942
17,942.338,1.03201,0.77781,1.22806,0.85988,0.84198,0.89466,0.66384,0.91454,0.59103,1.16307,0.000487805,0.000487805,0.000487805
18,996.069,1.0173,0.7643,1.22067,0.86908,0.85932,0.90078,0.6706,0.89416,0.56139,1.14618,0.000473668,0.000473668,0.000473668
19,1049.05,1.00956,0.75461,1.21302,0.86683,0.88061,0.91752,0.68512,0.88623,0.53353,1.13075,0.00045953,0.00045953,0.00045953
20,1101.69,0.99726,0.74141,1.20726,0.89267,0.86937,0.91732,0.69144,0.85838,0.52024,1.1138,0.000445393,0.000445393,0.000445393
21,1155.17,0.98391,0.72042,1.19754,0.89288,0.86903,0.91928,0.69955,0.85266,0.50525,1.10672,0.000431256,0.000431256,0.000431256
22,1210.15,0.96899,0.69626,1.18503,0.89249,0.88038,0.92686,0.71064,0.8279,0.49361,1.09352,0.000417119,0.000417119,0.000417119
23,1266.06,0.95958,0.6942,1.17953,0.89098,0.89176,0.92963,0.71454,0.81778,0.4721,1.09045,0.000402982,0.000402982,0.000402982
24,1321.33,0.94718,0.67504,1.17161,0.89604,0.89167,0.93206,0.71636,0.81337,0.46504,1.0839,0.000388844,0.000388844,0.000388844
25,1376.54,0.92271,0.66104,1.1587,0.90547,0.90756,0.94337,0.7384,0.77875,0.44215,1.06616,0.000374707,0.000374707,0.000374707
26,1429.13,0.91109,0.64217,1.14808,0.90692,0.90672,0.94247,0.7477,0.76116,0.43061,1.05008,0.00036057,0.00036057,0.00036057
27,1481.44,0.90562,0.64048,1.14625,0.92421,0.91046,0.95101,0.75612,0.75014,0.42271,1.03942,0.000346433,0.000346433,0.000346433
28,1534.51,0.89418,0.63207,1.13759,0.91739,0.9223,0.95141,0.76066,0.73733,0.41213,1.03195,0.000332296,0.000332296,0.000332296
29,1587.33,0.87773,0.60792,1.12408,0.92677,0.92109,0.95544,0.76333,0.72885,0.40693,1.02796,0.000318158,0.000318158,0.000318158
30,1639.72,0.87735,0.60631,1.12888,0.92456,0.92106,0.95691,0.76909,0.70763,0.38753,1.01527,0.000304021,0.000304021,0.000304021
31,1693.07,0.86257,0.59203,1.1161,0.93218,0.93083,0.96322,0.78396,0.69327,0.38121,1.0045,0.000289884,0.000289884,0.000289884
32,1748.57,0.85507,0.58889,1.10807,0.94407,0.92502,0.96094,0.78313,0.68402,0.37186,1.00049,0.000275747,0.000275747,0.000275747
33,1801.79,0.83407,0.57341,1.09961,0.9373,0.94149,0.96666,0.79402,0.66697,0.36166,0.98968,0.00026161,0.00026161,0.00026161
34,1855.31,0.81914,0.54902,1.09078,0.94408,0.93428,0.96675,0.80417,0.64105,0.34748,0.97563,0.000247472,0.000247472,0.000247472
35,1910.4,0.81219,0.55328,1.08531,0.94166,0.94381,0.96876,0.80908,0.63706,0.33844,0.97176,0.000233335,0.000233335,0.000233335
36,1964.8,0.79632,0.53813,1.07967,0.94522,0.94197,0.96973,0.81402,0.61945,0.33075,0.96275,0.000219198,0.000219198,0.000219198
37,2018.97,0.78172,0.52566,1.06613,0.94728,0.94628,0.97268,0.82069,0.60324,0.32075,0.95119,0.000205061,0.000205061,0.000205061
38,2073.6,0.77702,0.52283,1.06578,0.95328,0.94706,0.97406,0.82683,0.59652,0.31641,0.94653,0.000190924,0.000190924,0.000190924
39,2128.15,0.77144,0.51868,1.06627,0.96189,0.94902,0.97667,0.83214,0.58402,0.30611,0.94584,0.000176786,0.000176786,0.000176786
40,2182.6,0.74887,0.50312,1.05326,0.96002,0.95646,0.9796,0.83611,0.5776,0.30203,0.93441,0.000162649,0.000162649,0.000162649
41,2238.5,0.64205,0.36116,0.97919,0.95328,0.96187,0.97999,0.8367,0.57523,0.30365,0.9345,0.000148512,0.000148512,0.000148512
42,2293.33,0.62146,0.34329,0.96614,0.96336,0.96126,0.98234,0.84562,0.5551,0.29041,0.92029,0.000134375,0.000134375,0.000134375
43,2348.38,0.6134,0.33564,0.96369,0.96781,0.96408,0.98285,0.85156,0.54344,0.29016,0.91895,0.000120238,0.000120238,0.000120238
44,2402.41,0.59283,0.32363,0.95389,0.96766,0.97061,0.98493,0.85562,0.53289,0.27835,0.91231,0.0001061,0.0001061,0.0001061
45,2456.63,0.58259,0.31646,0.94633,0.96974,0.96832,0.98505,0.85906,0.52451,0.2764,0.90546,9.19632e-05,9.19632e-05,9.19632e-05
46,2510.72,0.56906,0.30922,0.93853,0.97907,0.97008,0.98691,0.86546,0.50986,0.26838,0.89979,7.7826e-05,7.7826e-05,7.7826e-05
47,2564.45,0.55744,0.30427,0.9335,0.98192,0.96656,0.98747,0.87104,0.49992,0.26109,0.89625,6.36888e-05,6.36888e-05,6.36888e-05
48,2618.6,0.54341,0.29542,0.92564,0.98239,0.9725,0.98805,0.87546,0.48769,0.2551,0.89019,4.95516e-05,4.95516e-05,4.95516e-05
49,2674.35,0.53457,0.28843,0.91847,0.97768,0.97586,0.98865,0.87979,0.48022,0.25247,0.88592,3.54144e-05,3.54144e-05,3.54144e-05
50,2728.61,0.52672,0.28265,0.91484,0.97918,0.97856,0.98927,0.88325,0.4738,0.24697,0.88305,2.12772e-05,2.12772e-05,2.12772e-05
